EV6,EV5,EV4,EV3,EV2,EV1,time,feeder_load_W
37.5,0.0,37.5,0.0,37.5,0.0,0.0,2142377.7310212525
37.5,0.0,37.5,0.0,37.5,0.0,0.3333333333333333,2130550.718270129
37.5,0.0,37.5,0.0,37.5,0.0,0.6666666666666666,1704885.7457630804
37.5,0.0,37.5,0.0,37.5,0.0,1.0,1673808.966031542
30.0,0.0,31.25,0.0,30.0,0.0,1.3333333333333333,1642484.842383953
30.0,0.0,31.25,0.0,30.0,0.0,1.6666666666666667,1624701.5412874687
30.0,0.0,31.25,0.0,30.0,0.0,2.0,1615388.4133402223
22.5,0.0,31.25,0.0,22.5,0.0,2.3333333333333335,1597454.2311649877
22.5,0.0,31.25,0.0,22.5,0.0,2.6666666666666665,1597970.3730609377
22.5,0.0,31.25,0.0,22.5,0.0,3.0,1585054.9849659537
30.0,0.0,31.25,0.0,30.0,0.0,3.3333333333333335,1607823.5229046217
30.0,0.0,31.25,0.0,30.0,0.0,3.6666666666666665,1596784.9050273253
30.0,0.0,31.25,0.0,30.0,0.0,4.0,1616503.2189226148
45.0,15.0,38.75,0.0,45.0,15.0,4.333333333333333,1670217.5757906528
45.0,15.0,38.75,0.0,45.0,15.0,4.666666666666667,1695978.0527511914
45.0,15.0,38.75,0.0,45.0,15.0,5.0,1718274.943335988
82.5,30.0,50.0,0.0,82.5,30.0,5.333333333333333,1824810.471415061
82.5,30.0,50.0,0.0,82.5,30.0,5.666666666666667,1853230.1886755396
82.5,30.0,50.0,0.0,82.5,30.0,6.0,1886223.94824477
127.5,37.5,68.75,0.0,127.5,37.5,6.333333333333333,2074211.7736946992
127.5,37.5,68.75,0.0,127.5,37.5,6.666666666666667,2102035.0832330454
127.5,37.5,68.75,0.0,127.5,37.5,7.0,2140590.301184844
157.5,52.5,93.75,180.0,157.5,52.5,7.333333333333333,2529688.583168675
157.5,52.5,93.75,180.0,157.5,52.5,7.666666666666667,2612596.931527895
157.5,52.5,93.75,180.0,157.5,52.5,8.0,2708477.3360002125
165.0,52.5,93.75,180.0,165.0,52.5,8.333333333333334,2867856.710533145
165.0,52.5,93.75,180.0,165.0,52.5,8.666666666666666,2989187.1587341684
165.0,52.5,93.75,180.0,165.0,52.5,9.0,3071886.8799800775
164.0,52.5,93.75,200.0,164.0,52.5,9.333333333333334,3218691.0735203987
164.0,52.5,93.75,200.0,164.0,52.5,9.666666666666666,3231421.7456794404
164.0,52.5,93.75,200.0,164.0,52.5,10.0,3437068.139310261
172.5,60.0,100.0,200.0,172.5,60.0,10.333333333333334,3571346.4085584353
172.5,60.0,100.0,200.0,172.5,60.0,10.666666666666666,3680209.596522893
172.5,60.0,100.0,200.0,172.5,60.0,11.0,3715379.2384380926
180.0,67.5,100.0,200.0,-180.0,67.5,11.333333333333334,3515901.9132601563
180.0,67.5,100.0,200.0,-180.0,67.5,11.666666666666666,3508973.886259919
180.0,67.5,100.0,200.0,-180.0,67.5,12.0,3691713.395209981
187.5,73.5,87.5,170.0,-187.5,73.5,12.333333333333334,3843326.6855464857
187.5,73.5,87.5,170.0,-187.5,73.5,12.666666666666666,3844640.2449391866
187.5,73.5,87.5,170.0,-187.5,73.5,13.0,4013645.888967022
190.5,75.0,87.7,-160.0,-190.5,75.0,13.333333333333334,3593423.7043292234
190.5,75.0,87.7,-160.0,-190.5,75.0,13.666666666666666,3648663.4328673086
190.5,75.0,87.7,-160.0,-190.5,75.0,14.0,3575698.1452634837
198.75,82.5,87.8,-200.0,198.75,82.5,14.333333333333334,4031981.8088990273
198.75,82.5,87.8,-200.0,198.75,82.5,14.666666666666666,4172595.401992388
198.75,82.5,87.8,-200.0,198.75,82.5,15.0,4206545.169192944
210.0,75.0,87.5,-200.0,210.0,75.0,15.333333333333334,3996922.854422342
210.0,75.0,87.5,-200.0,210.0,75.0,15.666666666666666,4118229.0114247557
210.0,75.0,87.5,-200.0,210.0,75.0,16.0,4009341.5634588283
209.0,75.0,87.5,-200.0,209.0,75.0,16.333333333333332,4199819.6941679735
209.0,75.0,87.5,-200.0,209.0,75.0,16.666666666666668,4038950.0108362893
209.0,75.0,87.5,-200.0,209.0,75.0,17.0,3795680.762571239
198.75,73.5,87.8,200.0,198.75,73.5,17.333333333333332,4039569.76422283
198.75,73.5,87.8,200.0,198.75,73.5,17.666666666666668,4017783.8903633785
198.75,73.5,87.8,200.0,198.75,73.5,18.0,3955035.939097633
165.0,60.0,87.7,200.0,165.0,60.0,18.333333333333332,3770225.726419434
165.0,60.0,87.7,200.0,165.0,60.0,18.666666666666668,3684228.774767807
165.0,60.0,87.7,200.0,165.0,60.0,19.0,3353876.409320187
131.25,48.75,68.75,140.0,131.25,48.75,19.333333333333332,3096967.839399359
131.25,48.75,68.75,140.0,131.25,48.75,19.666666666666668,3078600.9875658704
131.25,48.75,68.75,140.0,131.25,48.75,20.0,2846493.281853956
112.5,37.5,62.5,140.0,112.5,37.5,20.333333333333332,2791941.570230811
112.5,37.5,62.5,140.0,112.5,37.5,20.666666666666668,2781485.897663198
112.5,37.5,62.5,140.0,112.5,37.5,21.0,2827181.7331892774
105.0,30.0,56.25,140.0,105.0,30.0,21.333333333333332,2605238.9610538217
105.0,30.0,56.25,140.0,105.0,30.0,21.666666666666668,2537615.286415219
105.0,30.0,56.25,140.0,105.0,30.0,22.0,2494489.9307753546
82.5,15.0,50.0,140.0,82.5,15.0,22.333333333333332,2341584.3169327285
82.5,15.0,50.0,140.0,82.5,15.0,22.666666666666668,2275552.0216540825
82.5,15.0,50.0,140.0,82.5,15.0,23.0,2314678.2500185426
60.0,7.5,46.875,0.0,60.0,7.5,23.333333333333332,2144610.677307021
60.0,7.5,46.875,0.0,60.0,7.5,23.666666666666668,2158999.8437423427
